# energy dos(up) dos(down)
-6.437090000000000600e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.433060000000000400e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.429030000000000200e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.425000000000000000e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.420969999999999800e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.416939999999999600e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.412909999999999400e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.408870000000000289e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.404840000000000089e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.400809999999999889e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.396779999999999688e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.392749999999999488e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.388719999999999288e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.384689999999999799e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.380659999999999599e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.376619999999999777e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.372589999999999577e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.368559999999999377e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.364529999999999887e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.360499999999999687e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.356469999999999487e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.352439999999999287e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.348409999999999798e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.344379999999999598e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.340339999999999776e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.336309999999999576e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.332279999999999376e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.328249999999999886e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.324219999999999686e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.320189999999999486e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.316159999999999286e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.312129999999999797e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.308089999999999264e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.304059999999999775e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.300029999999999575e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.295999999999999375e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.291969999999999885e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.287939999999999685e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.283909999999999485e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.279879999999999285e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.275839999999999463e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.271809999999999263e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.267779999999999774e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.263749999999999574e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.259719999999999374e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.255689999999999884e+01 0.000000000000000000e+00 -0.000000000000000000e+00
