# energy dos(up) dos(down)
-6.440340000000000487e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.436299999999999955e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.432259999999999422e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.428220000000000312e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.424179999999999779e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.420130000000000337e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.416089999999999804e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.412049999999999272e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.408010000000000161e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.403969999999999629e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.399919999999999476e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.395879999999999654e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.391839999999999833e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.387799999999999301e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.383759999999999479e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.379709999999999326e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.375669999999999504e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.371629999999999683e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.367589999999999861e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.363549999999999329e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.359499999999999176e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.355459999999999354e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.351419999999999533e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.347379999999999711e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.343339999999999179e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.339289999999999736e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.335249999999999204e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.331209999999999383e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.327169999999999561e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.323129999999999740e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.319079999999999586e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.315039999999999765e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.310999999999999233e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.306959999999999411e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.302919999999999590e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.298869999999999436e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.294829999999999615e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.290789999999999793e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.286749999999999261e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.282709999999999440e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.278659999999999286e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.274619999999999465e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.270579999999999643e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.266539999999999822e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.262499999999999289e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.258449999999999847e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.254409999999999314e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.250369999999999493e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.246329999999999671e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.242289999999999850e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.238239999999999696e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.234199999999999164e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.230159999999999343e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.226119999999999521e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.222079999999999700e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.218029999999999546e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.213989999999999725e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.209949999999999193e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.205909999999999371e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.201869999999999550e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.197819999999999396e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.193779999999999575e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.189739999999999753e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.185699999999999221e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.181659999999999400e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.177609999999999246e+01 0.000000000000000000e+00 -0.000000000000000000e+00
