# energy dos(up) dos(down)
-6.410819999999999652e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.406819999999999027e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.402819999999999823e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.398819999999999197e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.394819999999999993e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.390829999999999700e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.386829999999999075e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.382829999999999870e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.378829999999999245e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.374830000000000041e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.370829999999999416e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.366839999999999122e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.362839999999999918e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.358839999999999293e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.354840000000000089e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.350839999999999463e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.346840000000000259e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.342849999999999966e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.338849999999999341e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.334850000000000136e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.330849999999999511e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.326850000000000307e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.322849999999999682e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.318849999999999056e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.314860000000000184e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.310859999999999559e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.306860000000000355e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.302859999999999729e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.298859999999999104e+01 0.000000000000000000e+00 -0.000000000000000000e+00
