# energy dos(up) dos(down)
-6.385430000000000206e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.381470000000000198e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.377519999999999811e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.373559999999999803e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.369610000000000127e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.365650000000000119e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.361699999999999733e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.357739999999999725e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.353790000000000049e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.349830000000000041e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.345879999999999654e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.341919999999999646e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.337969999999999970e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.334009999999999962e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.330060000000000286e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.326100000000000279e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.322149999999999892e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.318189999999999884e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.314240000000000208e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.310280000000000200e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.306329999999999814e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.302369999999999806e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.298420000000000130e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.294460000000000122e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.290509999999999735e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.286549999999999727e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.282600000000000051e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.278640000000000043e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.274689999999999657e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.270729999999999649e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.266779999999999973e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.262819999999999965e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.258870000000000289e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.254910000000000281e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.250959999999999894e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.246999999999999886e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.243050000000000210e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.239090000000000202e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.235139999999999816e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.231179999999999808e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.227230000000000132e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.223270000000000124e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.219319999999999737e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.215359999999999729e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.211410000000000053e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.207450000000000045e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.203499999999999659e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.199539999999999651e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.195589999999999975e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.191629999999999967e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.187680000000000291e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.183720000000000283e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.179769999999999897e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.175809999999999889e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.171860000000000213e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.167900000000000205e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.163949999999999818e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.159989999999999810e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.156040000000000134e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.152080000000000126e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.148129999999999740e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.144169999999999732e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.140220000000000056e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.136260000000000048e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.132309999999999661e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.128349999999999653e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.124399999999999977e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.120439999999999969e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.116479999999999961e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.112530000000000285e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.108570000000000277e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.104619999999999891e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.100659999999999883e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.096710000000000207e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.092750000000000199e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.088799999999999812e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.084839999999999804e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.080890000000000128e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.076930000000000121e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.072979999999999734e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.069019999999999726e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.065070000000000050e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.061110000000000042e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.057159999999999656e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.053199999999999648e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.049249999999999972e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.045289999999999964e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.041340000000000288e+01 1.000000000000000048e-04 -0.000000000000000000e+00
-6.037380000000000280e+01 1.039999999999999952e-02 -0.000000000000000000e+00
-6.033429999999999893e+01 3.376000000000000112e-01 -0.000000000000000000e+00
-6.029469999999999885e+01 3.667499999999999982e+00 -0.000000000000000000e+00
-6.025520000000000209e+01 1.407240000000000002e+01 -0.000000000000000000e+00
-6.021560000000000201e+01 1.987630000000000052e+01 -0.000000000000000000e+00
-6.017609999999999815e+01 1.046199999999999974e+01 -0.000000000000000000e+00
-6.013649999999999807e+01 2.005500000000000060e+00 -0.000000000000000000e+00
-6.009700000000000131e+01 1.335999999999999965e-01 -0.000000000000000000e+00
-6.005740000000000123e+01 2.899999999999999800e-03 -0.000000000000000000e+00
-6.001789999999999736e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.997829999999999728e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.993880000000000052e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.989920000000000044e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.985969999999999658e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.982009999999999650e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.978059999999999974e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.974099999999999966e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.970150000000000290e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.966190000000000282e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.962239999999999895e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.958279999999999887e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.954330000000000211e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.950370000000000203e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.946419999999999817e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.942459999999999809e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.938510000000000133e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.934550000000000125e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.930599999999999739e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.926639999999999731e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.922690000000000055e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.918730000000000047e+01 0.000000000000000000e+00 -0.000000000000000000e+00
