# energy dos(up) dos(down)
-6.379889999999999617e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.375939999999999230e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.371979999999999222e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.368029999999999546e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.364079999999999160e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.360129999999999484e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.356179999999999808e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.352229999999999421e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.348269999999999413e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.344319999999999737e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.340369999999999351e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.336419999999999675e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.332469999999999288e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.328519999999999612e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.324559999999999604e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.320609999999999218e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.316659999999999542e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.312709999999999155e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.308759999999999479e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.304809999999999803e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.300849999999999795e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.296899999999999409e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.292949999999999733e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.288999999999999346e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.285049999999999670e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.281099999999999284e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.277139999999999276e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.273189999999999600e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.269239999999999213e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.265289999999999537e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.261339999999999151e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.257389999999999475e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.253429999999999467e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.249479999999999791e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.245529999999999404e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.241579999999999728e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.237629999999999342e+01 0.000000000000000000e+00 -0.000000000000000000e+00
