# energy dos(up) dos(down)
-6.481129999999998859e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.477189999999998804e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.473239999999999839e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.469299999999999784e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.465359999999999729e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.461410000000000764e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.457470000000000709e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.453530000000000655e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.449590000000000600e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.445640000000000214e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.441700000000000159e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.437760000000000105e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.433809999999999718e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.429869999999999663e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.425929999999999609e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.421989999999999554e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.418039999999999168e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.414099999999999113e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.410159999999999059e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.406209999999998672e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.402270000000000039e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.398329999999999984e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.394389999999999930e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.390439999999999543e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.386499999999999488e+01 0.000000000000000000e+00 -0.000000000000000000e+00
