# energy dos(up) dos(down)
-6.408530000000000371e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.404630000000000223e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.400730000000000075e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.396829999999999927e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.392929999999999779e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.389030000000000342e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.385139999999999816e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.381240000000000379e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.377340000000000231e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.373440000000000083e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.369539999999999935e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.365639999999999787e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.361749999999999972e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.357849999999999824e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.353950000000000387e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.350050000000000239e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.346150000000000091e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.342249999999999943e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.338349999999999795e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.334459999999999980e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.330559999999999832e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.326659999999999684e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.322760000000000247e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.318860000000000099e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.314959999999999951e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.311059999999999803e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.307169999999999987e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.303269999999999840e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.299369999999999692e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.295470000000000255e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.291570000000000107e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.287669999999999959e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.283780000000000143e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.279879999999999995e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.275979999999999848e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.272079999999999700e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.268180000000000263e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.264280000000000115e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.260379999999999967e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.256490000000000151e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.252590000000000003e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.248689999999999856e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.244789999999999708e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.240890000000000271e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.236990000000000123e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.233089999999999975e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.229200000000000159e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.225300000000000011e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.221399999999999864e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.217499999999999716e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.213600000000000279e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.209700000000000131e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.205810000000000315e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.201910000000000167e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.198010000000000019e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.194109999999999872e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.190209999999999724e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.186310000000000286e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.182410000000000139e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.178520000000000323e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.174620000000000175e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.170720000000000027e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.166819999999999879e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.162919999999999732e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.159020000000000294e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.155120000000000147e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.151230000000000331e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.147330000000000183e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.143430000000000035e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.139529999999999887e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.135629999999999740e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.131730000000000302e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.127839999999999776e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.123940000000000339e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.120040000000000191e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.116140000000000043e+01 0.000000000000000000e+00 -0.000000000000000000e+00
