,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,3451c2,Li2FeSO,0.0,Li2FeSO,-0.02672386450000097,FeO+Li2S,11f85c2c-27fb-4120-b5d9-8a06bf6771a2,pbe,-5.135917913
1,a5f966,Li2FeSO,1.982299999614412e-05,Li2FeSO,-0.026704041500000386,FeO+Li2S,f4f63720-bda7-43ea-90a0-fc08e77626bb,pbe,-5.1358980899999995
2,Li2FeSO Ziheng MODE PUSHED PRIMITIVE,Li2FeSO,0.00013391649999583422,Li2FeSO,-0.026589948000000696,FeO+Li2S,664f185d-dac4-43c3-b6e2-201917554b5a,pbe,-5.1357839965
3,1cc1b8,Li2FeSO,0.0008139269999958287,Li2FeSO,-0.0259099375000007,FeO+Li2S,9584f940-3363-46b7-b35b-99359dc2d5a1,pbe,-5.135103986
4,4e0b8b,Li2FeSO,0.0018688703333298307,Li2FeSO,-0.0248549941666667,FeO+Li2S,0f000ca6-6d86-4ea0-9665-5e689017efee,pbe,-5.134049042666666
5,9403b6,Li2Fe4S3O2,0.0,Li2Fe4S3O2,-0.035032990303029976,FeO+FeS+Li2S,9cf9007b-4ac0-4097-9005-a29fff91d439,pbe,-5.557765273636364
6,fa99d5,Li2Fe4S3O2,0.006648848181819211,Li2Fe4S3O2,-0.028384142121211653,FeO+FeS+Li2S,d765a574-699a-44da-a1ee-366654fb15b0,pbe,-5.551116425454546
7,90fe99,Li2Fe4S3O2,0.030552237727273557,Li2Fe4S3O2,-0.0044807525757573075,FeO+FeS+Li2S,c07ef72f-cd9b-419c-bd08-c461c5ac417c,pbe,-5.527213035909091
8,c9a8a0,Li2Fe4S3O2,0.032898419090910735,Li2Fe4S3O2,-0.002134571212120129,FeO+FeS+Li2S,ff95a919-c389-4099-a8ff-baa6417265a5,pbe,-5.524866854545454
9,f4d5ac,Li2Fe4S3O2,0.06124753727272836,Li2Fe4S3O2,0.026214546969697494,FeO+FeS+Li2S,b855b37d-5f03-48cc-bbd4-010398b3e147,pbe,-5.496517736363637
10,c39cef,Li2Fe3(SO)2,0.003356443749993332,Li2FeSO+FeO+Li2Fe4S3O2,-0.025475901574073312,FeO+FeS+Li2S,29ebdea0-2abd-47b0-97bf-40a10ff5f8f7,pbe,-5.572475142222222
11,8a392f,Li2Fe3(SO)2,0.013330710972215165,Li2FeSO+FeO+Li2Fe4S3O2,-0.015501634351851479,FeO+FeS+Li2S,35fda52d-cf0d-4d29-8311-2f1cb4325fc9,pbe,-5.5625008750000005
12,f13c8e,Li2Fe3(SO)2,0.023922701527770762,Li2FeSO+FeO+Li2Fe4S3O2,-0.004909643796295882,FeO+FeS+Li2S,8a34991a-1a68-4ce7-bb53-91a547a99a00,pbe,-5.551908884444445
13,9bc0ff,Li2Fe3(SO)2,0.023964553749992845,Li2FeSO+FeO+Li2Fe4S3O2,-0.004867791574073799,FeO+FeS+Li2S,5a1c650c-8481-4fbf-86ab-6d3fae0b078a,pbe,-5.551867032222223
14,f26065,Li2Fe3(SO)2,0.026440488194437783,Li2FeSO+FeO+Li2Fe4S3O2,-0.0023918571296288604,FeO+FeS+Li2S,113dfd5a-b4c1-42df-b301-e166b93e7025,pbe,-5.549391097777778
15,e6d3a9,Li2Fe2S2O,0.00338517142857242,Li2Fe4S3O2+Li2S,-0.02414074952381018,FeO+FeS+Li2S,a4a3f895-c027-44d3-88f0-dcd4528d6c9e,pbe,-5.220288205714286
16,7c3239,Li2Fe2S2O,0.009549239285715494,Li2Fe4S3O2+Li2S,-0.017976681666667105,FeO+FeS+Li2S,7dc1546a-83af-43b3-b17b-77d7a7724f9a,pbe,-5.214124137857143
17,bd12f3,Li2Fe2S2O,0.027821365000001208,Li2Fe4S3O2+Li2S,0.0002954440476186093,FeO+FeS+Li2S,10b85046-2793-406d-8275-a846df059d0d,pbe,-5.195852012142857
18,1643ea,Li2Fe2S2O,0.03004673357142984,Li2Fe4S3O2+Li2S,0.0025208126190472413,FeO+FeS+Li2S,ce5866be-d5e1-4f46-a0fd-a77116246305,pbe,-5.193626643571428
19,e15cb6,Li2Fe2S2O,0.03328854214285748,Li2Fe4S3O2+Li2S,0.005762621190474881,FeO+FeS+Li2S,f8f1d6cf-c368-4689-9b02-27e3d53acfac,pbe,-5.190384835000001
20,68ece2,Li4Fe3S3O2,0.01807659541666773,Li2FeSO+Li2Fe4S3O2+Li2S,-0.009115135347222747,FeO+FeS+Li2S,ec2fcd8f-e716-4c62-b4e4-be0d032ee022,pbe,-5.169032005
21,f61735,Li4Fe3S3O2,0.035719408750001236,Li2FeSO+Li2Fe4S3O2+Li2S,0.00852767798611076,FeO+FeS+Li2S,e6a9fb5c-a2ff-42ba-91b7-b262f40d19ee,pbe,-5.1513891916666665
22,a1640f,Li4Fe3S3O2,0.038991297916667556,Li2FeSO+Li2Fe4S3O2+Li2S,0.01179956715277708,FeO+FeS+Li2S,a21ddc42-a30c-4b25-bf41-801f04fa3cd0,pbe,-5.1481173025
23,e253e8,Li4Fe3S3O2,0.061445582916667796,Li2FeSO+Li2Fe4S3O2+Li2S,0.03425385215277732,FeO+FeS+Li2S,0519bbb9-0c44-4781-a1fa-2fa805d71d03,pbe,-5.1256630175
