label,natoms,enthalpy,volume,pressure,symmetry,formula,nform
LFSO-Li4Fe3S3O2-201021-201850-534246,24,-431.05556666666666,21.7367275,-0.0984,(C2),Fe3Li4O2S3,2
LFSO-Li4Fe3S3O2-201021-203332-e79a69,24,-430.8655708333333,24.385316833333334,0.1066,(P-4),Fe3Li4O2S3,2
LFSO-Li4Fe3S3O2-201021-211357-2303a0,12,-431.0961883333334,16.655564000000002,-0.0094,(C2),Fe3Li4O2S3,1
LFSO-Li4Fe3S3O2-201021-221540-639c29,12,-430.3823058333333,24.433807833333333,0.0655,(F222),Fe3Li4O2S3,1
LFSO-Li4Fe3S3O2-201021-221936-a784eb,24,-431.00561250000004,20.041829041666666,0.2071,(C2),Fe3Li4O2S3,2
LFSO-Li4Fe3S3O2-201021-223651-4245ff,24,-430.8101208333333,36.622021708333335,-0.0749,(Cm),Fe3Li4O2S3,2
LFSO-Li4Fe3S3O2-201021-225321-3bcce5,12,-430.8124066666667,18.59102508333333,-0.0116,(Imm2),Fe3Li4O2S3,1
LFSO-Li4Fe3S3O2-201021-230303-5d1dd4,24,-430.66864583333336,36.238304375,0.0181,(Cm),Fe3Li4O2S3,2
LFSO-Li4Fe3S3O2-201021-231227-97851a,12,-430.8937691666667,17.26345183333333,0.0105,(F222),Fe3Li4O2S3,1
LFSO-Li4Fe3S3O2-201021-231415-4db6b4,12,-431.12607583333335,21.706052833333334,0.0151,(P-1),Fe3Li4O2S3,1
LFSO-Li4Fe3S3O2-201021-233343-5eb0c6,24,-430.98033749999996,20.748466083333334,0.1454,(P3),Fe3Li4O2S3,2
LFSO-Li4Fe3S3O2-201022-015556-f1ed20,24,-431.12058333333334,33.85372458333333,0.1011,(Cm),Fe3Li4O2S3,2
LFSO-Li4Fe3S3O2-201022-042803-2464a9,24,-430.95645833333333,18.65628775,0.3008,(P3),Fe3Li4O2S3,2
LFSO-Li4Fe3S3O2-201022-075714-58ddbb,12,-431.13699249999996,17.997627833333333,0.0122,(C2),Fe3Li4O2S3,1
LFSO-Li4Fe3S3O2-201028-192954-8aaa87,24,-431.1059708333333,18.324613916666667,0.0079,(C2/m),Fe3Li4O2S3,2
LFSO-Li4Fe3S3O2-201028-193322-83c313,24,-430.9988,29.443044,0.0381,(P3),Fe3Li4O2S3,2
LFSO-Li4Fe3S3O2-201028-193408-4e16f4,24,-431.02917916666667,19.696726,-0.0258,(P3),Fe3Li4O2S3,2
