label,natoms,enthalpy,volume,pressure,symmetry,formula,nform
LFSO-Li2FeSO-201023-021602-a504c3,5,-400.673974,14.909079600000002,-0.0162,(Amm2),FeLi2OS,1
LFSO-Li2FeSO-201023-022050-5b98be,20,-400.572953,16.25706075,0.1194,(R3),FeLi2OS,4
LFSO-Li2FeSO-201023-022247-53e4bc,10,-400.251978,15.068555900000002,0.0581,(P3),FeLi2OS,2
LFSO-Li2FeSO-201023-022728-6bb128,20,-400.34376149999997,25.702712350000002,-0.0064,(Pc),FeLi2OS,4
LFSO-Li2FeSO-201023-023009-95e570,20,-400.509412,27.56719605,0.0004,(Cm),FeLi2OS,4
LFSO-Li2FeSO-201023-023604-400f62,20,-400.768133,14.85845455,0.0129,(R3),FeLi2OS,4
LFSO-Li2FeSO-201023-024147-9a8c6b,10,-400.74833,15.121486100000002,-0.0498,(P2),FeLi2OS,2
LFSO-Li2FeSO-201023-024340-855c79,15,-400.80320066666667,19.012145933333333,-0.0307,(R3),FeLi2OS,3
LFSO-Li2FeSO-201023-025043-094679,20,-400.747055,21.74877765,-0.0762,(C2),FeLi2OS,4
LFSO-Li2FeSO-201023-025331-04268b,10,-400.781931,28.1292276,1.2696,(Amm2),FeLi2OS,2
LFSO-Li2FeSO-201023-030350-d35500,10,-400.783749,16.2090789,-0.0253,(P2),FeLi2OS,2
LFSO-Li2FeSO-201023-031231-812b8d,10,-400.615365,15.7882347,0.0343,(Cmm2),FeLi2OS,2
LFSO-Li2FeSO-201023-031334-33cf8d,5,-400.00049,18.4592818,0.0099,(P3m1),FeLi2OS,1
LFSO-Li2FeSO-201023-031700-8d0552,15,-400.73946,18.120624066666668,0.0757,(P32),FeLi2OS,3
LFSO-Li2FeSO-201023-032112-af219d,15,-400.6748386666667,20.612902333333334,0.0178,(Pm),FeLi2OS,3
LFSO-Li2FeSO-201023-032719-79eb16,15,-400.74445933333334,19.148017866666667,0.0248,(C2),FeLi2OS,3
LFSO-Li2FeSO-201023-033111-f9f00f,5,-400.404792,18.089119,-0.0007,(Fmm2),FeLi2OS,1
LFSO-Li2FeSO-201023-033311-2fbfc4,20,-400.7762455,13.946164450000001,-0.064,(P-4),FeLi2OS,4
LFSO-Li2FeSO-201023-033734-729048,10,-400.29662199999996,17.8900406,0.0274,(R3m),FeLi2OS,2
LFSO-Li2FeSO-201023-034214-a9e922,5,-400.76200600000004,13.3680802,0.0002,(P2/m),FeLi2OS,1
LFSO-Li2FeSO-201023-034445-a87703,10,-400.858655,15.695917,0.0418,(Cc),FeLi2OS,2
LFSO-Li2FeSO-201023-034639-bb8360,5,-399.73438,14.9904,-0.046,(I-4m2),FeLi2OS,1
LFSO-Li2FeSO-201023-035258-0dc985,5,-400.22202000000004,13.2816814,-0.0214,(Pm),FeLi2OS,1
LFSO-Li2FeSO-201023-035527-0be0ea,5,-400.592386,13.268573,-0.0814,(R3m),FeLi2OS,1
LFSO-Li2FeSO-201023-035804-d3dfd9,10,-400.850981,14.247707600000002,-0.0239,(Cmcm),FeLi2OS,2
LFSO-Li2FeSO-201023-040317-568f57,10,-400.800219,14.3582326,0.0139,(P21),FeLi2OS,2
LFSO-Li2FeSO-201023-044750-fc336d,5,-400.58669599999996,15.043995200000001,-0.0421,(Amm2),FeLi2OS,1
LFSO-Li2FeSO-201023-045708-47cb7d,15,-400.756386,17.7829124,0.001,(P31m),FeLi2OS,3
LFSO-Li2FeSO-201023-050759-bae881,5,-400.71183,16.0736124,-0.0552,(Amm2),FeLi2OS,1
LFSO-Li2FeSO-201023-051534-6d91bd,20,-400.4230165,24.269449650000002,0.0242,(Fmm2),FeLi2OS,4
LFSO-Li2FeSO-201023-051745-d03e5c,5,-400.72519,13.5763618,0.005,(Pmm2),FeLi2OS,1
LFSO-Li2FeSO-201023-052032-3ff5bf,15,-400.74397533333337,21.159588733333333,0.045,(P31),FeLi2OS,3
LFSO-Li2FeSO-201023-053759-5d71ae,20,-400.6323785,15.298044749999999,0.0383,(P42),FeLi2OS,4
LFSO-Li2FeSO-201023-054142-c7709b,20,-400.7701985,16.92832615,-0.0162,(P21),FeLi2OS,4
LFSO-Li2FeSO-201023-054907-c57ab3,10,-400.37115800000004,26.720273600000002,-0.0395,(Pm),FeLi2OS,2
LFSO-Li2FeSO-201023-055019-b888c0,10,-400.86073,15.3185246,-0.0097,(P2),FeLi2OS,2
LFSO-Li2FeSO-201023-055113-2d0a53,10,-400.696481,18.588011700000003,0.0102,(Pmmn),FeLi2OS,2
LFSO-Li2FeSO-201023-055357-71d353,10,-400.655255,23.373238,-0.0064,(Aea2),FeLi2OS,2
LFSO-Li2FeSO-201023-060249-e7ba83,10,-400.82180400000004,15.544988799999999,0.0668,(Pma2),FeLi2OS,2
LFSO-Li2FeSO-201023-060305-a5f966,10,-400.906675,12.8451338,0.0445,(Pc),FeLi2OS,2
LFSO-Li2FeSO-201023-061100-ba5168,5,-400.663328,16.2334602,-0.012,(Cm),FeLi2OS,1
LFSO-Li2FeSO-201023-061823-1d0870,20,-400.7439065,17.2931023,-0.0337,(P2),FeLi2OS,4
LFSO-Li2FeSO-201023-062341-75dce7,15,-399.84314400000005,23.764816800000002,0.0093,(P-4),FeLi2OS,3
LFSO-Li2FeSO-201023-062918-dbf4d1,20,-400.655349,18.4325406,0.0063,(P3),FeLi2OS,4
LFSO-Li2FeSO-201023-063319-654621,10,-400.86100799999997,15.9864709,-0.0273,(P-1),FeLi2OS,2
LFSO-Li2FeSO-201023-063355-e7201b,10,-400.474988,16.679367300000003,-0.0529,(R3),FeLi2OS,2
LFSO-Li2FeSO-201023-064525-bab820,10,-400.205085,18.03287,0.0268,(P3),FeLi2OS,2
LFSO-Li2FeSO-201023-064912-5f5366,10,-400.73341,16.553987799999998,0.0665,(P2),FeLi2OS,2
LFSO-Li2FeSO-201023-065324-149663,5,-400.291566,21.1010936,0.0272,(Pmm2),FeLi2OS,1
LFSO-Li2FeSO-201023-065558-321aa4,5,-400.369108,14.5904032,-0.053,(P3m1),FeLi2OS,1
LFSO-Li2FeSO-201023-070309-35496c,15,-400.7011093333333,19.710872733333336,0.0458,(P32),FeLi2OS,3
LFSO-Li2FeSO-201023-070601-7806f5,15,-400.7514893333334,18.2881722,-0.0641,(P32),FeLi2OS,3
